neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,Survived
73,4,3,156,1,180
21,2,3,0,0,60
8,6,1,62,1,199
12,23,2,11,1,209
83,2,4,0,0,50
52,6,3,21,1,200
160,48,2,316,1,93
67,0,3,172,1,150
34,70,4,174,1,250
6,10,14,286,1,68
6,27,2,255,1,100
8,4,3,5,0,59
21,1,1,0,0,55
137,1,10,180,1,125
13,1,3,15,1,550
12,8,15,198,1,190
3,38,2,37,0,58
2,0,3,170,1,225
4,33,3,0,1,120
21,18,2,344,0,90
15,56,7,44,1,148
16,0,14,0,0,100
20,25,4,6,1,200
6,1,5,0,0,89
15,13,2,89,1,200
28,0,4,0,0,54
8,1,2,0,1,159
15,1,1,0,0,41
28,0,7,207,1,510
54,1,2,343,0,60
54,6,2,360,0,90
12,4,4,128,0,89
33,0,1,250,1,200
12,2,1,0,0,50
25,0,1,359,0,89
6,21,2,48,1,150
96,11,2,120,1,210
79,49,1,90,0,50
1,0,1,309,0,100
49,11,3,244,0,42
15,18,2,251,0,55
6,1,3,158,1,180
1,1,3,0,0,181
12,44,1,113,1,315
107,27,2,79,0,65
30,24,2,318,0,85
16,20,1,258,0,60
6,6,1,0,0,41
20,1,2,0,1,200
2,6,3,247,0,135
90,1,1,0,0,80
6,8,2,0,1,229
6,2,1,0,0,50
1,14,30,0,1,209
29,0,2,0,0,60
14,1,6,3,1,250
60,15,1,356,0,85
114,20,2,15,2,165
2,6,4,0,1,175
12,1,1,0,0,68
6,2,2,0,1,125
2,2,5,6,1,250
13,11,2,0,1,225
1,47,4,320,1,170
12,2,2,0,1,155
99,9,2,0,0,80
22,14,2,17,0,75
52,0,1,0,1,300
2,0,1,0,1,200
12,0,1,50,1,195
58,1,2,365,0,75
56,1,5,30,1,225
15,1,1,34,0,30
22,3,1,0,0,60
6,6,3,10,0,50
6,54,2,267,1,140
12,18,10,157,1,145
83,177,2,105,1,69
143,44,1,89,0,39
19,3,2,0,0,150
37,19,1,45,0,56
7,28,3,76,0,350
9,0,4,0,1,170
53,0,5,45,1,200
6,9,2,0,0,30
12,29,14,0,1,120
4,4,1,69,0,65
20,16,3,71,1,129
7,16,3,0,1,250
56,7,2,0,0,89
29,13,2,0,1,165
39,0,3,0,1,100
6,77,4,100,1,100
32,42,5,15,1,200
2,32,3,0,1,295
12,97,3,216,1,125
43,14,3,10,1,200
2,5,2,135,0,100
14,37,2,0,0,150
22,5,14,21,0,55
20,43,2,0,1,140
103,16,2,158,0,55
8,15,2,3,1,300
21,30,2,0,0,91
1,0,30,342,1,220
79,3,5,0,0,40
12,8,2,0,0,75
6,0,14,0,0,45
2,19,14,210,0,47
12,13,4,280,0,70
12,12,1,352,0,51
22,1,30,0,0,44
28,12,3,0,1,86
8,44,30,364,1,1000
27,53,2,38,0,190
4,0,1,364,1,400
12,4,2,0,0,85
85,39,3,347,1,250
8,0,5,0,1,220
11,24,2,0,1,190
79,2,4,0,0,25
56,161,1,365,0,80
99,61,3,22,0,50
21,0,5,0,1,160
28,4,30,272,1,80
29,2,1,0,0,150
23,11,1,0,1,120
12,2,1,130,1,185
12,0,1,89,0,150
12,5,175,362,1,350
3,7,30,27,1,175
4,6,1,0,2,45
52,0,4,0,0,69
79,1,6,0,0,35
3,7,7,50,1,210
52,13,5,167,1,260
15,2,1,363,0,58
2,71,3,4,1,115
12,0,2,0,2,60
3,3,7,189,1,130
8,0,1,0,0,40
20,1,1,0,0,65
111,6,2,90,0,52
76,62,2,131,1,123
8,2,3,0,0,58
7,0,2,0,0,100
26,0,30,90,1,134
114,3,1,363,2,28
14,6,1,0,1,129
20,17,4,0,1,20
19,0,1,0,0,115
21,1,2,0,0,40
100,41,3,278,0,40
71,0,1,232,0,100
79,2,1,361,0,70
64,47,6,40,0,120
50,2,1,13,0,99
30,0,4,83,1,90
6,216,2,321,1,99
7,153,1,271,0,165
70,1,2,349,0,65
8,2,100,290,1,158
6,1,2,365,0,89
6,0,400,90,0,50
12,2,3,10,1,250
14,87,30,280,1,225
28,5,30,347,1,125
6,33,1,170,0,43
7,104,4,145,1,148
30,0,1,0,0,70
149,18,1,0,0,40
19,22,2,0,1,174
4,52,2,42,0,99
52,2,60,0,0,119
26,4,30,156,1,150
25,20,14,2,0,55
27,0,2,0,1,200
2,31,1,188,1,125
23,6,2,0,1,160
7,4,30,339,1,160
152,32,1,135,1,101
22,0,2,30,1,195
14,20,3,106,1,275
16,0,4,0,1,160
31,1,30,247,0,40
21,0,3,0,1,68
56,151,3,210,1,87
15,15,2,0,1,105
4,109,1,168,0,99
28,1,30,329,1,145
12,14,3,180,0,95
26,13,1,0,1,250
22,0,1,0,0,65
1,0,30,155,1,300
12,28,2,0,1,225
2,10,1,365,0,73
96,51,1,6,0,63
20,2,2,0,0,80
39,188,4,0,1,204
20,56,1,269,0,65
12,0,4,0,1,200
15,104,3,0,0,44
7,0,30,365,1,300
19,2,1,0,0,50
15,7,2,0,1,95
12,12,1,156,0,140
12,172,2,330,1,320
5,0,30,312,1,350
1,7,1,121,1,320
17,143,4,254,1,149
56,1,3,328,0,99
28,7,30,327,1,99
14,18,10,0,1,429
28,12,30,208,1,99
14,0,30,364,1,210
19,8,1,0,1,125
14,24,2,20,1,200
90,1,2,169,0,99
2,12,3,0,1,80
2,33,2,2,0,82
7,0,1,0,1,200
21,24,1,250,0,75
7,0,2,0,0,200
79,2,4,3,1,260
15,20,3,0,1,110
3,6,2,0,0,65
2,10,5,177,1,100
12,164,2,0,0,65
12,2,3,24,1,180
2,67,3,0,1,129
21,46,2,352,0,64
1,2,2,0,0,130
193,41,1,158,0,95
19,147,2,18,0,65
8,0,1,0,0,300
19,0,3,18,0,80
2,0,30,241,0,53
12,16,1,0,0,80
11,7,1,0,0,55
28,0,30,362,1,139
1,20,2,242,1,260
14,98,2,33,1,199
30,11,3,0,1,99
45,0,30,32,0,49
14,1,2,0,1,199
79,16,22,173,0,70
21,202,1,73,0,37
11,79,6,81,1,220
2,2,1,54,0,57
5,5,30,364,1,150
2,36,1,169,0,70
7,8,2,0,1,135
17,30,3,3,1,115
179,1,1,65,0,89
7,4,1,19,2,95
12,0,1,84,1,225
6,22,30,318,0,75
12,0,4,315,1,200
1,3,1,365,0,587
45,0,2,33,1,150
21,0,1,0,0,85
43,3,9,365,0,57
112,3,6,362,1,2600
126,0,7,0,1,125
28,0,26,90,2,90
173,23,1,365,0,65
10,2,4,179,1,130
21,7,30,0,1,99
19,0,1,0,0,200
6,8,5,270,0,55
1,0,1,321,0,100
19,0,30,0,1,157
178,71,2,282,0,34
19,1,1,0,0,119
27,0,14,133,0,75
15,11,21,0,0,37
22,0,1,0,0,47
21,1,4,15,1,120
15,1,1,0,0,55
13,22,3,189,1,120
15,44,3,52,1,250
4,3,2,332,0,75
28,53,2,0,1,170
172,21,2,354,1,135
20,2,3,60,0,249
67,1,1,0,0,70
7,168,3,129,0,69
56,6,2,309,1,110
21,1,14,0,0,60
33,4,3,0,1,175
15,5,1,0,0,55
19,0,1,0,0,77
54,14,2,0,1,65
63,44,2,35,1,99
6,27,1,0,0,65
200,0,2,177,0,38
20,8,30,152,1,80
21,0,4,66,1,200
102,1,2,179,1,345
2,1,2,179,1,300
53,0,3,11,1,125
39,0,2,0,1,84
41,93,3,279,0,58
12,0,3,351,0,80
12,10,5,0,1,155
12,0,3,99,1,199
30,18,1,305,0,60
12,0,2,0,0,35
12,2,4,0,1,175
7,28,2,233,1,499
29,0,1,0,1,150
50,12,2,5,1,225
11,13,5,50,1,245
124,7,3,313,0,40
4,5,1,1,2,60
28,0,2,0,1,170
28,21,1,25,1,125
4,60,2,233,0,47
12,1,3,0,1,160
6,21,2,75,0,60
6,59,1,248,1,110
77,1,1,0,1,650
8,29,2,11,1,150
23,0,5,0,0,86
22,88,2,255,1,189
1,3,3,0,1,350
14,20,1,355,1,139
18,7,2,0,1,175
12,14,4,0,0,41
153,37,7,0,1,100
24,125,2,229,1,125
28,30,1,2,1,200
3,7,5,0,1,100
8,9,2,105,1,300
18,1,3,252,0,90
51,2,10,0,0,80
14,10,3,9,1,390
30,5,4,0,0,50
123,29,1,273,1,99
8,95,3,0,0,65
68,13,30,352,1,766
21,58,3,81,1,350
7,119,30,215,1,199
52,6,4,364,1,250
43,57,2,141,1,475
56,14,1,89,0,49
21,64,1,149,0,55
114,17,1,319,2,28
8,28,4,167,1,339
12,0,1,0,0,600
11,1,30,277,1,190
12,0,14,0,0,43
6,2,3,0,0,61
23,1,2,284,1,300
14,2,2,0,1,260
116,3,6,36,1,150
20,0,3,8,1,115
21,216,1,61,0,42
28,3,30,298,1,117
4,221,1,348,1,110
30,1,2,0,1,200
19,1,1,0,1,135
8,60,1,188,0,90
46,6,3,37,1,64
31,4,2,266,0,50
20,1,3,0,1,225
54,22,2,0,1,80
52,7,1,13,0,120
0,95,1,148,0,42
1,0,2,0,1,295
2,2,14,0,0,44
6,21,2,344,0,70
47,1,1,364,0,70
18,229,4,26,0,71
54,1,2,83,0,150
21,0,3,364,1,165
133,1,5,306,1,93
87,23,7,22,1,49
8,1,3,0,0,90
15,4,2,31,1,88
75,78,4,29,1,150
28,3,30,321,1,142
79,4,365,365,1,196
103,87,3,322,1,100
24,1,6,0,0,30
111,0,2,365,0,50
7,17,1,282,1,230
19,4,5,0,1,99
21,10,4,0,1,99
84,2,1,145,1,99
16,3,2,175,1,250
6,148,1,20,1,109
